"REALINC","SEX","PRESTG80","RELIG","HRS1"
6267,"Female",22,"Catholic",40
90265,"Female",75,"Jewish",20
90265,"Male",59,"Other",50
9401,"Female",42,"None",20
90265,"Female",38,"Jewish",30
19846,"Male",36,"Catholic",40
90265,"Male",65,"None",40
17757,"Male",49,"Catholic",40
22980,"Female",50,"Catholic",50
31336,"Male",32,"Catholic",40
90265,"Female",51,"Catholic",40
37603,"Male",42,"Protestant",35
13579,"Female",42,"Catholic",40
9401,"Female",55,"None",20
90265,"Male",75,"Jewish",45
90265,"Male",65,"Other",60
90265,"Female",52,"Jewish",16
90265,"Male",75,"Jewish",10
37603,"Female",39,"Catholic",40
11490,"Male",36,"Catholic",23
90265,"Male",50,"Catholic",18
45959,"Male",30,"Catholic",49
56405,"Male",64,"Protestant",40
56405,"Male",60,"Jewish",50
22980,"Female",46,"Protestant",52
31336,"Male",44,"Jewish",40
31336,"Male",51,"Protestant",30
56405,"Male",64,"Protestant",40
27158,"Female",48,"Protestant",32
90265,"Male",39,"Protestant",55
45959,"Female",45,"Catholic",40
90265,"Female",48,"Jewish",40
27158,"Female",44,"Catholic",62
45959,"Female",39,"Protestant",45
37603,"Female",29,"Catholic",34
13579,"Female",40,"Protestant",40
22980,"Male",30,"Catholic",40
15668,"Female",65,"Other",30
56405,"Male",60,"Protestant",40
37603,"Female",47,"Catholic",6
27158,"Female",32,"Jewish",40
13579,"Female",25,"Catholic",40
31336,"Male",51,"None",40
27158,"Male",42,"Protestant",40
11490,"Female",51,"Jewish",20
11490,"Male",37,"Catholic",50
31336,"Female",60,"Protestant",64
9401,"Female",39,"Protestant",40
22980,"Female",40,"Catholic",49
37603,"Male",51,"Catholic",50
37603,"Male",54,"Protestant",30
27158,"Male",57,"Catholic",55
15668,"Female",32,"Protestant",15
90265,"Male",31,"Protestant",50
27158,"Male",17,"Protestant",30
31336,"Female",39,"Catholic",40
37603,"Male",30,"Protestant",10
45959,"Male",45,"Catholic",40
90265,"Male",51,"Protestant",4
37603,"Male",27,"Catholic",40
45959,"Female",64,"Catholic",40
56405,"Female",22,"Catholic",31
56405,"Female",43,"Catholic",45
56405,"Female",59,"Catholic",48
37603,"Female",36,"Protestant",26
56405,"Female",39,"Protestant",42
15668,"Female",25,"Protestant",38
27158,"Female",58,"Protestant",50
6267,"Female",36,"Protestant",20
15668,"Male",22,"Other",45
27158,"Female",55,"Catholic",40
31336,"Female",68,"Catholic",40
22980,"Male",40,"Catholic",40
37603,"Female",42,"Catholic",5
37603,"Female",64,"Catholic",32
31336,"Male",49,"Catholic",60
19846,"Male",44,"Catholic",52
27158,"Male",39,"Protestant",50
13579,"Female",49,"Protestant",55
31336,"Female",61,"Protestant",20
45959,"Female",31,"Protestant",40
27158,"Male",45,"Protestant",3
56405,"Male",43,"Protestant",50
1671,"Female",25,"Protestant",30
15668,"Male",49,"Catholic",89
11490,"Female",22,"Protestant",15
15668,"Male",31,"None",72
13579,"Male",50,"Catholic",40
90265,"Male",54,"Protestant",20
45959,"Female",23,"Protestant",53
45959,"Male",51,"Catholic",48
17757,"Female",62,"Jewish",40
11490,"Female",28,"None",50
45959,"Male",35,"Catholic",45
15668,"Female",52,"None",40
56405,"Female",32,"Catholic",30
27158,"Female",32,"Protestant",25
37603,"Female",32,"Protestant",38
90265,"Female",74,"Jewish",15
90265,"Male",49,"None",45
13579,"Female",51,"None",6
4596,"Female",29,"Jewish",12
7521,"Male",51,"Jewish",10
11490,"Male",22,"None",14
27158,"Female",65,"Protestant",40
56405,"Female",21,"Catholic",40
56405,"Female",51,"Protestant",40
90265,"Male",61,"Protestant",50
90265,"Male",51,"Protestant",40
45959,"Female",63,"Catholic",40
22980,"Male",69,"Protestant",40
19846,"Male",23,"Jewish",32
27158,"Female",75,"Protestant",40
17757,"Female",46,"Catholic",29
90265,"Male",63,"Jewish",60
31336,"Male",60,"Protestant",45
22980,"Female",52,"Catholic",52
9401,"Female",23,"Protestant",15
56405,"Female",56,"Protestant",40
13579,"Male",36,"Protestant",30
11490,"Female",39,"Protestant",89
56405,"Male",65,"Protestant",32
37603,"Male",37,"Protestant",62
3760,"Female",46,"Protestant",39
37603,"Female",64,"Catholic",40
418,"Male",31,"None",40
9401,"Male",28,"Protestant",32
15668,"Male",28,"Protestant",52
17757,"Female",39,"Catholic",40
37603,"Male",48,"Protestant",40
7521,"Male",36,"Protestant",70
37603,"Female",39,"Protestant",40
27158,"Male",35,"Protestant",40
13579,"Female",29,"None",37
31336,"Male",51,"Other",40
37603,"Female",36,"Other",40
56405,"Female",32,"Protestant",30
90265,"Male",65,"Protestant",50
45959,"Female",51,"None",46
37603,"Male",51,"Protestant",40
45959,"Male",42,"Protestant",72
56405,"Male",67,"Catholic",55
37603,"Female",46,"Protestant",16
27158,"Female",51,"Catholic",40
13579,"Female",51,"Protestant",40
13579,"Male",30,"Protestant",30
37603,"Male",51,"Catholic",50
45959,"Male",49,"Protestant",40
13579,"Male",32,"Catholic",35
37603,"Male",73,"Catholic",40
13579,"Female",44,"Catholic",40
17757,"Female",66,"Catholic",24
45959,"Female",47,"Catholic",8
56405,"Male",36,"Catholic",48
45959,"Female",42,"Catholic",38
56405,"Female",69,"Catholic",40
45959,"Male",50,"Catholic",40
7521,"Male",30,"Protestant",16
27158,"Male",61,"Catholic",55
15668,"Female",46,"Catholic",40
13579,"Female",51,"Protestant",40
9401,"Female",32,"Catholic",39
37603,"Female",50,"Protestant",48
31336,"Female",36,"Protestant",40
56405,"Female",66,"Catholic",24
90265,"Female",46,"Protestant",28
37603,"Male",71,"None",33
37603,"Male",66,"Catholic",40
